mol_id,title,num_confs,has_sites
1,18451197,1,1
2,18451149,1,1
3,18451199,1,1
4,49830358,1,1
5,49830372,1,1
6,18451073,1,1
7,49830353,1,1
8,49830359,1,1
9,11442914,1,1
10,18451223,1,1
11,49830362,1,1
12,18451366,1,1
13,49830363,1,1
14,49830344,1,1
15,49830371,1,1
16,18451141,1,1
17,18451176,1,1
18,46207586,1,1
19,18451208,1,1
20,49830351,1,1
21,49830356,1,1
22,18451135,1,1
23,18451363,1,1
24,49830350,1,1
25,49830352,1,1
26,49830367,1,1
27,49830360,1,1
28,18450918,1,1
29,11306240,1,1
30,49830348,1,1
31,49830365,1,1
32,46223479,1,1
33,49830364,1,1
34,49830357,1,1
35,18451372,1,1
36,18451374,1,1
37,18450541,1,1
