AAHHRRR_1	1.445644
AHHRRR_1	1.415848
AHHRRR_2	1.412578
AHHRRR_3	1.412104
AHHRRR_4	1.41169
AHHRRR_5	1.410592
AAHHRR_1	1.402882
AAHHRR_2	1.399036
AAHRRR_1	1.399036
AAHHRR_3	1.398526
AAHRRR_2	1.391464
HHRRR_1	1.38241
HHRRR_2	1.38061
HHRRR_3	1.380064
HHRRR_4	1.379602
AHHRR_1	1.376776
AHHRR_2	1.37539
AHHRR_3	1.375288
AHRRR_1	1.373224
AHHRR_4	1.372522
AHHRR_5	1.372408
HHRR_1	1.350292
HRRR_1	1.348174
HHRR_2	1.347772
HHRR_3	1.34737
HHRR_4	1.347346
HRRR_2	1.346518
HRRR_3	1.346098
HHRR_5	1.345414
HRRR_4	1.345114
HRRR_5	1.345084
HRR_1	1.324642
HRR_2	1.323964
HRR_3	1.323814
HHR_1	1.32376
HRR_4	1.323748
HRR_5	1.3228
HRR_6	1.322752
HHR_2	1.322476
HRR_7	1.32136
HRR_8	1.320904
